Column1;Команда №1;Команда №2;Счёт
;Алания;Балтика;0 : 0
;Жемчужина;Зенит;1 : 0
;Шинник;ЦСКА;0 : 1
;Торпедо-Лужники;КАМАЗ-Чаллы;2 : 0
;Спартак;Черноморец;3 : 0
;Балтика;Ротор;0 : 1
;Ростсельмаш;Алания;1 : 0
;Локомотив;Динамо;2 : 1
;Локомотив НН;Факел;1 : 0
;Крылья Советов;Жемчужина;0 : 1
;Зенит;Шинник;1 : 1
;ЦСКА;Торпедо-Лужники;0 : 5
;КАМАЗ-Чаллы;Спартак;2 : 1
;Тюмень;Черноморец;0 : 0
;Ротор;Ростсельмаш;0 : 2
;Алания;Локомотив;1 : 2
;Динамо;Локомотив НН;3 : 0
;Факел;Тюмень;1 : 0
;Жемчужина;Балтика;0 : 0
;Шинник;Крылья Советов;1 : 0
;Торпедо-Лужники;Зенит;1 : 2
;Спартак;ЦСКА;0 : 0
;Черноморец;КАМАЗ-Чаллы;1 : 0
;Локомотив;Ротор;0 : 1
;Ростсельмаш;Жемчужина;0 : 0
;Локомотив НН;Алания;1 : 3
;Факел;Динамо;0 : 1
;Балтика;Шинник;1 : 1
;Крылья Советов;Торпедо-Лужники;0 : 1
;Зенит;Спартак;0 : 0
;ЦСКА;Черноморец;0 : 1
;Тюмень;КАМАЗ-Чаллы;1 : 0
;Ротор;Локомотив НН;2 : 0
;Шинник;Ростсельмаш;1 : 1
;Жемчужина;Локомотив;0 : 0
;Алания;Факел;2 : 0
;Динамо;Тюмень;2 : 0
;Торпедо-Лужники;Балтика;1 : 0
;Спартак;Крылья Советов;2 : 0
;Черноморец;Зенит;2 : 0
;КАМАЗ-Чаллы;ЦСКА;0 : 3
;Факел;Ротор;0 : 0
;Ростсельмаш;Торпедо-Лужники;1 : 1
;Локомотив;Шинник;1 : 1
;Локомотив НН;Жемчужина;1 : 0
;Динамо;Алания;1 : 0
;Балтика;Спартак;1 : 1
;Крылья Советов;Черноморец;1 : 0
;Зенит;КАМАЗ-Чаллы;0 : 3
;Тюмень;ЦСКА;2 : 0
;Торпедо-Лужники;Локомотив;1 : 3
;Шинник;Локомотив НН;0 : 0
;Жемчужина;Факел;1 : 0
;Алания;Тюмень;0 : 0
;Черноморец;Балтика;2 : 2
;КАМАЗ-Чаллы;Крылья Советов;3 : 0
;ЦСКА;Зенит;2 : 0
;Ротор;Динамо;3 : 1
;Спартак;Ростсельмаш;2 : 0
;Ростсельмаш;Черноморец;0 : 0
;Локомотив;Спартак;1 : 3
