Column1;Команда №1;Команда №2;Счёт
;Кубань;Терек;1 : 1
;Рубин;Спартак Нч;2 : 0
;Томь;ЦСКА;2 : 3
;Спартак;Кубань;4 : 0
;Терек;ФК Москва;1 : 2
;Амкар;Крылья Советов;2 : 0
;Химки;Динамо;0 : 2
;Cатурн;Зенит;2 : 2
;Локомотив;Ростов;2 : 0
;ФК Москва;Рубин;1 : 3
;Спартак Нч;Спартак;2 : 4
;Кубань;Cатурн;0 : 2
;Динамо;Терек;0 : 1
;Крылья Советов;Локомотив;1 : 3
;Зенит;Томь;0 : 2
;ЦСКА;Амкар;1 : 0
;Ростов;Химки;2 : 0
;Амкар;Зенит;2 : 4
;Томь;Кубань;1 : 0
;Химки;Крылья Советов;1 : 3
;Локомотив;ЦСКА;2 : 1
;Cатурн;Спартак Нч;1 : 0
;Рубин;Терек;4 : 0
;Ростов;Динамо;0 : 1
;Спартак;ФК Москва;2 : 1
;Крылья Советов;Ростов;2 : 2
;ФК Москва;Cатурн;3 : 1
;ЦСКА;Химки;2 : 1
;Спартак Нч;Томь;3 : 0
;Зенит;Локомотив;1 : 1
;Динамо;Рубин;0 : 3
;Кубань;Амкар;1 : 0
;Терек;Спартак;2 : 3
;Томь;ФК Москва;0 : 0
;Cатурн;Терек;3 : 0
;Локомотив;Кубань;4 : 1
;Химки;Зенит;0 : 4
;Спартак;Рубин;0 : 3
;Крылья Советов;Динамо;3 : 1
;Ростов;ЦСКА;1 : 0
;Амкар;Спартак Нч;1 : 2
;ФК Москва;Амкар;0 : 2
;ЦСКА;Крылья Советов;3 : 0
;Рубин;Cатурн;5 : 1
;Кубань;Химки;2 : 1
;Динамо;Спартак;1 : 1
;Спартак Нч;Локомотив;0 : 1
;Зенит;Ростов;2 : 0
;Терек;Томь;4 : 0
;Химки;Спартак Нч;0 : 2
;Cатурн;Спартак;2 : 1
;Ростов;Кубань;3 : 3
;Локомотив;ФК Москва;1 : 0
;Томь;Рубин;0 : 0
;ЦСКА;Динамо;3 : 0
;Амкар;Терек;1 : 0
;Крылья Советов;Зенит;0 : 1
;Рубин;Амкар;1 : 2
;Зенит;ЦСКА;2 : 0
;Динамо;Cатурн;1 : 0
;ФК Москва;Химки;3 : 0
;Спартак Нч;Ростов;1 : 0
;Терек;Локомотив;2 : 1
;Спартак;Томь;5 : 0
;Кубань;Крылья Советов;0 : 0
;Томь;Cатурн;3 : 1
;Крылья Советов;Спартак Нч;0 : 0
;Химки;Терек;1 : 2
;Ростов;ФК Москва;2 : 2
;Амкар;Спартак;1 : 2
;Локомотив;Рубин;2 : 1
;ЦСКА;Кубань;4 : 0
;Зенит;Динамо;2 : 1
;Cатурн;Амкар;2 : 0
;Спартак Нч;ЦСКА;1 : 1
;Динамо;Томь;0 : 1
;Рубин;Химки;2 : 1
;Терек;Ростов;1 : 3
;Спартак;Локомотив;3 : 0
;ФК Москва;Крылья Советов;2 : 1
;Кубань;Зенит;0 : 2
;Крылья Советов;Терек;2 : 0
;Химки;Спартак;0 : 3
;Локомотив;Cатурн;2 : 2
;Амкар;Томь;0 : 0
;ЦСКА;ФК Москва;1 : 3
;Зенит;Спартак Нч;2 : 2
;Кубань;Динамо;1 : 1
;Ростов;Рубин;1 : 2
;ЦСКА;Терек;1 : 0
;Рубин;Крылья Советов;4 : 1
;Cатурн;Химки;1 : 0
;ФК Москва;Зенит;1 : 0
;Динамо;Амкар;0 : 0
;Томь;Локомотив;1 : 3
;Спартак;Ростов;5 : 1
;Спартак Нч;Кубань;4 : 0
;Химки;Томь;1 : 3
;Ростов;Cатурн;1 : 2
;Крылья Советов;Спартак;2 : 1
;Кубань;ФК Москва;3 : 3
;ЦСКА;Рубин;0 : 2
;Спартак Нч;Динамо;2 : 4
;Зенит;Терек;2 : 0
;Локомотив;Амкар;1 : 0
;Динамо;Локомотив;0 : 2
;Терек;Кубань;0 : 1
;Рубин;Зенит;0 : 0
;Спартак;ЦСКА;2 : 3
;Cатурн;Крылья Советов;3 : 1
;Томь;Ростов;2 : 1
;Амкар;Химки;2 : 0
;ФК Москва;Спартак Нч;0 : 2
;ФК Москва;Динамо;1 : 2
;Спартак Нч;Терек;4 : 2
;Кубань;Рубин;0 : 3
;Зенит;Спартак;2 : 1
;ЦСКА;Cатурн;3 : 0
;Крылья Советов;Томь;1 : 3
;Ростов;Амкар;1 : 1
;Химки;Локомотив;1 : 3
;ЦСКА;Амкар;1 : 0
;Крылья Советов;Зенит;0 : 1
;Анжи;Спартак Нч;0 : 0
;Ростов;Томь;0 : 2
;Сибирь;Терек;0 : 2
;Рубин;Локомотив;2 : 0
;Алания;Cатурн;1 : 1
;Спартак;Динамо;0 : 1
;Спартак Нч;Алания;2 : 1
;Амкар;Анжи;1 : 0
;Терек;Ростов;1 : 1
;Cатурн;Сибирь;1 : 1
;Локомотив;Крылья Советов;3 : 0
;Зенит;Спартак;1 : 1
;ЦСКА;Динамо;0 : 0
;Томь;Рубин;0 : 1
;Алания;Амкар;0 : 0
;Анжи;ЦСКА;1 : 2
;Сибирь;Спартак Нч;0 : 2
;Крылья Советов;Томь;2 : 3
;Динамо;Зенит;1 : 2
;Спартак;Локомотив;2 : 1
;Рубин;Терек;0 : 0
;Ростов;Cатурн;1 : 0
;Амкар;Сибирь;3 : 1
;Анжи;Алания;2 : 0
;Спартак Нч;Ростов;5 : 2
;Томь;Спартак;2 : 2
;Терек;Крылья Советов;2 : 0
;Cатурн;Рубин;0 : 0
;Локомотив;Динамо;3 : 2
;ЦСКА;Зенит;0 : 2
;Крылья Советов;Cатурн;2 : 1
;Спартак;Терек;2 : 1
;Динамо;Томь;0 : 0
;Сибирь;Анжи;2 : 4
;Зенит;Локомотив;1 : 0
;Алания;ЦСКА;1 : 3
;Ростов;Амкар;2 : 1
;Рубин;Спартак Нч;1 : 1
;Томь;Зенит;0 : 0
;ЦСКА;Локомотив;1 : 1
;Амкар;Рубин;0 : 1
;Алания;Сибирь;2 : 1
;Терек;Динамо;1 : 1
;Cатурн;Спартак;0 : 0
;Спартак Нч;Крылья Советов;1 : 0
;Анжи;Ростов;1 : 2
;Сибирь;ЦСКА;1 : 4
;Динамо;Cатурн;1 : 0
;Локомотив;Томь;2 : 1
;Спартак;Спартак Нч;0 : 0
;Зенит;Терек;0 : 0
;Рубин;Анжи;0 : 0
;Ростов;Алания;0 : 1
;Крылья Советов;Амкар;1 : 1
;Анжи;Крылья Советов;0 : 0
;Терек;Локомотив;0 : 0
;Спартак Нч;Динамо;1 : 0
;Сибирь;Ростов;2 : 0
;ЦСКА;Томь;3 : 1
;Cатурн;Зенит;0 : 1
;Алания;Рубин;1 : 1
;Амкар;Спартак;0 : 2
;Крылья Советов;Алания;1 : 0
;Локомотив;Cатурн;0 : 1
;Динамо;Амкар;1 : 1
;Томь;Терек;2 : 1
;Рубин;Сибирь;1 : 0
;Ростов;ЦСКА;1 : 0
;Зенит;Спартак Нч;3 : 1
;Спартак;Анжи;3 : 0
;Сибирь;Крылья Советов;4 : 1
;ЦСКА;Терек;4 : 1
;Алания;Спартак;5 : 2
;Амкар;Зенит;0 : 2
;Ростов;Рубин;0 : 2
;Cатурн;Томь;1 : 2
;Спартак Нч;Локомотив;1 : 1
;Анжи;Динамо;1 : 1
;Терек;Cатурн;2 : 0
;Рубин;ЦСКА;0 : 1
;Крылья Советов;Ростов;1 : 2
;Локомотив;Амкар;2 : 0
;Томь;Спартак Нч;1 : 0
;Динамо;Алания;2 : 0
;Зенит;Анжи;2 : 1
;Спартак;Сибирь;5 : 3
;Спартак Нч;Терек;2 : 1
;Сибирь;Динамо;2 : 2
;Рубин;Крылья Советов;3 : 0
;Алания;Зенит;1 : 3
;Ростов;Спартак;1 : 0
;ЦСКА;Cатурн;1 : 1
;Амкар;Томь;2 : 1
;Локомотив;Анжи;2 : 1
;Зенит;Сибирь;2 : 0
;Динамо;Ростов;3 : 2
;Спартак;Рубин;0 : 1
;Томь;Анжи;1 : 4
;Терек;Амкар;1 : 0
;Локомотив;Алания;3 : 0
;Крылья Советов;ЦСКА;0 : 1
;Cатурн;Спартак Нч;3 : 1
;Алания;Томь;2 : 1
;Ростов;Зенит;1 : 3
;Рубин;Динамо;2 : 0
;Сибирь;Локомотив;2 : 2
;Амкар;Cатурн;0 : 1
;Анжи;Терек;1 : 0
;Крылья Советов;Спартак;0 : 0
;ЦСКА;Спартак Нч;1 : 2
;Cатурн;Анжи;1 : 0
;Спартак Нч;Амкар;2 : 1
;Зенит;Рубин;2 : 0
;Терек;Алания;2 : 0
;Динамо;Крылья Советов;1 : 1
;Спартак;ЦСКА;1 : 2
;Локомотив;Ростов;0 : 1
;Томь;Сибирь;3 : 2
;Ростов;Терек;1 : 0
;Анжи;Амкар;1 : 0
;Крылья Советов;Локомотив;0 : 0
;Сибирь;Cатурн;0 : 1
;Рубин;Томь;2 : 1
;Алания;Спартак Нч;1 : 0
;Динамо;ЦСКА;0 : 0
;Спартак;Зенит;1 : 0
;Томь;Крылья Советов;1 : 1
;Зенит;Динамо;1 : 1
;Cатурн;Ростов;0 : 2
;Спартак Нч;Сибирь;4 : 2
;Амкар;Алания;1 : 0
;ЦСКА;Анжи;4 : 0
;Терек;Рубин;1 : 1
;Локомотив;Спартак;2 : 3
;Ростов;Спартак Нч;1 : 1
;Спартак;Томь;4 : 2
;Крылья Советов;Терек;1 : 3
;Сибирь;Амкар;1 : 0
;Динамо;Локомотив;3 : 0
;Рубин;Cатурн;2 : 0
;Алания;Анжи;0 : 0
;Зенит;ЦСКА;1 : 3
;Терек;Спартак;2 : 0
;Амкар;Ростов;1 : 0
;Cатурн;Крылья Советов;1 : 1
;Спартак Нч;Рубин;1 : 1
;Томь;Динамо;1 : 0
;Локомотив;Зенит;0 : 3
;ЦСКА;Алания;2 : 1
;Анжи;Сибирь;1 : 0
;Сибирь;Алания;1 : 2
;Зенит;Томь;2 : 0
;Спартак;Cатурн;2 : 1
;Рубин;Амкар;3 : 0
;Локомотив;ЦСКА;1 : 0
;Крылья Советов;Спартак Нч;2 : 0
;Динамо;Терек;3 : 1
;Ростов;Анжи;1 : 0
;Амкар;Крылья Советов;2 : 1
;Алания;Ростов;0 : 0
;Cатурн;Динамо;3 : 2
;Томь;Локомотив;1 : 1
;Анжи;Рубин;0 : 1
;Терек;Зенит;0 : 0
;Спартак Нч;Спартак;0 : 2
;ЦСКА;Сибирь;1 : 0
;Спартак;Амкар;2 : 2
;Зенит;Cатурн;6 : 1
;Рубин;Алания;1 : 0
;Томь;ЦСКА;0 : 3
;Динамо;Спартак Нч;0 : 3
;Ростов;Сибирь;0 : 1
;Локомотив;Терек;2 : 1
;Крылья Советов;Анжи;3 : 0
;Амкар;Динамо;0 : 1
;Алания;Крылья Советов;2 : 3
;Терек;Томь;1 : 0
;Сибирь;Рубин;2 : 2
;ЦСКА;Ростов;2 : 0
;Анжи;Спартак;0 : 1
;Спартак Нч;Зенит;2 : 3
;Cатурн;Локомотив;0 : 1
;Спартак;Алания;3 : 0
;Томь;Cатурн;2 : 2
;Зенит;Амкар;2 : 0
;Рубин;Ростов;2 : 1
;Терек;ЦСКА;0 : 3
;Динамо;Анжи;4 : 0
;Крылья Советов;Сибирь;1 : 1
;Локомотив;Спартак Нч;1 : 0
;Сибирь;Спартак;0 : 0
;Алания;Динамо;0 : 0
;Спартак Нч;Томь;2 : 1
;Cатурн;Терек;1 : 0
;Амкар;Локомотив;1 : 2
;ЦСКА;Рубин;0 : 0
;Анжи;Зенит;3 : 3
;Ростов;Крылья Советов;1 : 2
;Крылья Советов;Рубин;0 : 2
;Динамо;Сибирь;4 : 1
;Спартак;Ростов;2 : 1
;Томь;Амкар;1 : 0
;Зенит;Алания;3 : 0
;Терек;Спартак Нч;1 : 1
;Анжи;Локомотив;0 : 1
;Cатурн;ЦСКА;1 : 1
;Спартак Нч;Cатурн;2 : 0
;Амкар;Терек;2 : 0
;Анжи;Томь;1 : 0
;Ростов;Динамо;1 : 1
;Сибирь;Зенит;2 : 5
;Алания;Локомотив;0 : 0
;ЦСКА;Крылья Советов;4 : 3
;Рубин;Спартак;1 : 1
;Cатурн;Амкар;2 : 2
;Томь;Алания;1 : 1
;Терек;Анжи;1 : 3
;Динамо;Рубин;2 : 2
;Спартак Нч;ЦСКА;1 : 1
;Зенит;Ростов;5 : 0
;Локомотив;Сибирь;1 : 1
;Спартак;Крылья Советов;0 : 0
;ЦСКА;Спартак;3 : 1
;Анжи;Cатурн;1 : 2
;Алания;Терек;2 : 1
;Сибирь;Томь;0 : 1
;Ростов;Локомотив;1 : 2
;Рубин;Зенит;2 : 2
;Крылья Советов;Динамо;1 : 0
;Амкар;Спартак Нч;3 : 1
;Амкар;ЦСКА;0 : 0
;Спартак Нч;Анжи;1 : 3
;Cатурн;Алания;1 : 1
;Терек;Сибирь;1 : 1
;Томь;Ростов;3 : 1
;Локомотив;Рубин;0 : 0
;Зенит;Крылья Советов;0 : 0
;Динамо;Спартак;1 : 1
;Анжи;Краснодар;0 : 0
;Спартак Нч;Крылья Советов;1 : 0
;Локомотив;Динамо;3 : 2
;Кубань;Рубин;0 : 2
;ЦСКА;Амкар;2 : 0
;Терек;Зенит;0 : 1
;Волга НН;Томь;2 : 0
;Ростов;Спартак;4 : 0
;Краснодар;Спартак Нч;2 : 0
;Динамо;Ростов;3 : 1
;Томь;Кубань;0 : 1
;Амкар;Локомотив;1 : 0
;Рубин;Терек;2 : 0
;Зенит;Анжи;2 : 0
;Спартак;Волга НН;1 : 0
;Крылья Советов;ЦСКА;0 : 3
;Амкар;Крылья Советов;1 : 1
;Волга НН;Динамо;3 : 0
;Локомотив;Ростов;1 : 1
;Кубань;Спартак;3 : 1
;Спартак Нч;Зенит;2 : 2
;Анжи;Рубин;1 : 0
;ЦСКА;Краснодар;1 : 1
;Терек;Томь;2 : 0
;Крылья Советов;Локомотив;1 : 0
;Краснодар;Амкар;1 : 0
;Динамо;Кубань;1 : 0
;Ростов;Волга НН;1 : 3
;Рубин;Спартак Нч;0 : 0
;Зенит;ЦСКА;0 : 3
;Спартак;Терек;0 : 0
;Томь;Анжи;0 : 0
;Крылья Советов;Краснодар;0 : 0
;Кубань;Ростов;2 : 0
;Терек;Динамо;0 : 0
;Амкар;Зенит;1 : 3
;Локомотив;Волга НН;1 : 0
;ЦСКА;Рубин;2 : 0
;Анжи;Спартак;2 : 1
;Спартак Нч;Томь;1 : 2
;Волга НН;Кубань;0 : 1
;Ростов;Терек;1 : 0
;Краснодар;Локомотив;1 : 4
;Томь;ЦСКА;1 : 1
;Рубин;Амкар;1 : 1
;Зенит;Крылья Советов;3 : 0
;Спартак;Спартак Нч;1 : 0
;Динамо;Анжи;2 : 2
;ЦСКА;Спартак;0 : 1
;Терек;Волга НН;1 : 0
;Локомотив;Кубань;2 : 1
;Амкар;Томь;1 : 2
;Анжи;Ростов;1 : 0
;Краснодар;Зенит;0 : 0
;Крылья Советов;Рубин;2 : 2
;Спартак Нч;Динамо;2 : 3
;Томь;Крылья Советов;1 : 1
;Кубань;Терек;2 : 1
;Волга НН;Анжи;1 : 2
;Ростов;Спартак Нч;0 : 0
;Динамо;ЦСКА;2 : 2
;Спартак;Амкар;1 : 2
;Рубин;Краснодар;2 : 1
;Зенит;Локомотив;1 : 1
;Спартак Нч;Волга НН;1 : 1
;Краснодар;Томь;2 : 2
;Анжи;Кубань;0 : 0
;Локомотив;Терек;4 : 0
;Амкар;Динамо;0 : 0
;Зенит;Рубин;2 : 2
;Крылья Советов;Спартак;0 : 1
;ЦСКА;Ростов;2 : 1
;Терек;Анжи;1 : 0
;Кубань;Спартак Нч;1 : 1
;Рубин;Локомотив;0 : 0
;Томь;Зенит;2 : 1
;Ростов;Амкар;3 : 0
;Динамо;Крылья Советов;1 : 0
;Спартак;Краснодар;4 : 0
;Волга НН;ЦСКА;0 : 2
;Спартак Нч;Терек;2 : 2
;Рубин;Томь;4 : 1
;Локомотив;Анжи;1 : 2
;Зенит;Спартак;3 : 0
;Крылья Советов;Ростов;2 : 2
;ЦСКА;Кубань;1 : 1
;Краснодар;Динамо;0 : 1
;Амкар;Волга НН;1 : 0
;Томь;Локомотив;2 : 2
;Анжи;Спартак Нч;2 : 0
;Терек;ЦСКА;2 : 4
;Кубань;Амкар;3 : 2
;Волга НН;Крылья Советов;2 : 0
;Динамо;Зенит;1 : 1
;Спартак;Рубин;0 : 0
;Ростов;Краснодар;1 : 3
;Томь;Спартак;1 : 1
;Амкар;Терек;1 : 0
;Зенит;Ростов;4 : 0
;Локомотив;Спартак Нч;3 : 1
;Крылья Советов;Кубань;1 : 0
;ЦСКА;Анжи;3 : 0
;Рубин;Динамо;3 : 0
;Краснодар;Волга НН;4 : 2
;Динамо;Томь;3 : 0
;Амкар;Анжи;0 : 0
;Спартак Нч;ЦСКА;0 : 2
;Терек;Крылья Советов;2 : 0
;Волга НН;Зенит;0 : 2
;Кубань;Краснодар;0 : 1
;Локомотив;Спартак;0 : 2
;Ростов;Рубин;1 : 3
;Томь;Ростов;1 : 1
;Амкар;Спартак Нч;1 : 0
;Спартак;Динамо;0 : 2
;Рубин;Волга НН;2 : 0
;Крылья Советов;Анжи;0 : 3
;ЦСКА;Локомотив;3 : 1
;Краснодар;Терек;0 : 2
;Зенит;Кубань;1 : 0
;Томь;Волга НН;0 : 3
;Амкар;ЦСКА;0 : 2
;Зенит;Терек;0 : 0
;Крылья Советов;Спартак Нч;0 : 2
;Рубин;Кубань;0 : 2
;Динамо;Локомотив;4 : 1
;Спартак;Ростов;3 : 2
;Краснодар;Анжи;2 : 2
;Терек;Рубин;0 : 1
;Кубань;Томь;1 : 3
;Волга НН;Спартак;0 : 2
;Локомотив;Амкар;4 : 0
;Спартак Нч;Краснодар;2 : 2
;Ростов;Динамо;0 : 2
;Анжи;Зенит;0 : 1
;ЦСКА;Крылья Советов;2 : 1
;Томь;Терек;0 : 1
;Рубин;Анжи;0 : 3
;Спартак;Кубань;1 : 1
;Зенит;Спартак Нч;1 : 0
;Динамо;Волга НН;2 : 0
;Краснодар;ЦСКА;1 : 1
;Ростов;Локомотив;0 : 3
;Крылья Советов;Амкар;1 : 1
;ЦСКА;Зенит;0 : 2
;Анжи;Томь;2 : 0
;Кубань;Динамо;3 : 1
;Волга НН;Ростов;0 : 1
;Амкар;Краснодар;0 : 2
;Спартак Нч;Рубин;0 : 1
;Терек;Спартак;2 : 4
;Локомотив;Крылья Советов;0 : 0
;Томь;Спартак Нч;0 : 2
;Динамо;Терек;6 : 2
;Рубин;ЦСКА;1 : 1
